movie_id,title,release_date,popularity,vote_average,primary_genre
1444084,Narcisa's Will,2026-07-09,0.7749,0.0,Horror
1022787,Elio,2025-06-18,15.1837,6.906,Animation
497582,Enola Holmes,2020-09-22,9.4771,7.221,Adventure
1035048,Elevation,2024-11-07,9.6892,6.4,Action
1582261,Lonely City,2025-11-08,0.0699,0.0,Drama
1294203,My Fault: London,2025-02-12,32.0699,7.382,Drama
1079314,On the Edge,2025-08-13,1.4723,6.8,Drama
1396640,Once Upon a Time in a Cinema,2026-05-01,3.4995,10.0,Drama
1367933,The Second Child,2026-07-01,1.0401,0.0,Horror
1035259,The Naked Gun,2025-07-30,12.5582,6.372,Comedy
1022787,Elio,2025-06-18,15.1837,6.906,Animation
1588846,Ekis,2025-12-19,10.5788,6.2,Drama
1582261,Lonely City,2025-11-08,0.0699,0.0,Drama
1125899,Cleaner,2025-02-19,11.1632,6.476,Action
1079314,On the Edge,2025-08-13,1.4723,6.8,Drama
696506,Mickey 17,2025-02-28,12.4953,6.837,Science Fiction
1396640,Once Upon a Time in a Cinema,2026-05-01,3.4995,10.0,Drama
1422404,Tokyo Taxi,2025-11-21,2.8375,7.647,Drama
1367933,The Second Child,2026-07-01,1.0401,0.0,Horror
1371185,Song Sung Blue,2025-12-15,6.1871,7.39,Music
912378,Dridam,2026-05-08,21.0716,4.8,Crime
1100782,Smile 2,2024-10-16,9.8582,6.59,Horror
829280,Enola Holmes 2,2022-11-03,8.0555,7.401,Adventure
1160360,If I Had Legs I'd Kick You,2025-10-10,3.7708,6.322,Drama
980477,Ne Zha 2,2025-01-29,30.7754,8.156,Animation
1698856,Master of the Universe,2026-05-22,3.5889,4.5,Adventure
1699970,The Welcome Table,2026-06-23,6.4273,1.0,Documentary
875828,Peaky Blinders: The Immortal Man,2026-03-05,18.2951,7.24,Crime
1396749,Wild Sing,2026-06-03,2.1252,4.0,Comedy
822119,Captain America: Brave New World,2025-02-12,13.8186,5.967,Action
1501018,A Family of Bastards,2026-06-12,9.1159,5.365,Comedy
1103473,KD – The Devil,2026-04-30,69.0746,7.5,History
1422404,Tokyo Taxi,2025-11-21,2.8375,7.647,Drama
1476614,All of a Sudden,2026-06-19,3.0549,10.0,Drama
1057265,Peddi,2026-06-03,80.6361,6.1,Action
1478117,Pickleball Pete,2026-05-22,3.1952,6.0,Comedy
